ADDRESS_LA,X,Y
3210 GRAVIER ST,3672187.928,534175.721
3917 CLEVELAND AVE,3671420.517,537627.3401
4600 S CARROLLTON AVE,3670699.832,537699.0727
325 S SCOTT ST,3671096.058,537042.231
4029 BAUDIN ST,3670387.606,536998.7308
314 S SCOTT ST,3671258.902,537040.1866
3822 PALMYRA ST,3671388.202,537015.1469
3524 CANAL ST,3672626.561,537011.499
415 S PIERCE ST,3670584.376,537002.765
125 S GENOIS ST,3672371.723,537023.9256
3920 BANKS ST,3670785.339,536916.9032
410 S PIERCE ST,3670723.212,536929.7164
231 S TELEMACHUS ST,3671857.325,536890.3382
4320 S CARROLLTON AVE,3670016.947,536920.7507
124 S GENOIS ST,3672485.952,536924.3166
3801 TULANE AVE,3670565.939,535734.4875
3017 CLEVELAND AVE,3674001.06,535687.6372
604 S TELEMACHUS ST,3671163.517,535711.4766
3321 BANKS ST,3672751.304,535691.2494
327 S RENDON ST,3672898.112,535671.4369
3232 PALMYRA ST,3673118.422,535715.2914
3520 CLEVELAND AVE,3672405.837,536718.2512
429 S SCOTT ST,3670839.169,536698.6445
315 S TELEMACHUS ST,3671704.243,536708.6194
130 S CLARK ST,3672735.989,536722.8095
4234 S CARROLLTON AVE,3669832.467,536715.5162
119 S BROAD ST,3675144.972,534988.1988
2738 CANAL ST,3674976.742,535224.5607
2730 CANAL ST,3675032.092,535183.3408
2726 CANAL ST,3675061.872,535161.2813
2710 CANAL ST,3675150.747,535102.1266
2704 CANAL ST,3675209.813,535119.483
2700 CANAL ST,3675230.767,535093.2893
123 S BROAD ST,3675093.689,534987.3142
135 S BROAD ST,3675032.923,534910.8511
133 S SCOTT ST,3671504.857,537602.6912
225 S PIERCE ST,3671025.368,537592.43
210 S PIERCE ST,3671227.67,537600.7043
3830 BANKS ST,3671079.786,536731.8141
219 S CLARK ST,3672420.062,536571.691
4210 S CARROLLTON AVE,3669704.403,536574.6827
501 S SCOTT ST,3670712.329,536562.4358
3535 BANKS ST,3671957.003,536288.1413
315 S CLARK ST,3672196.028,536277.9609
530 S SCOTT ST,3670702.858,536292.1316
509 S CORTEZ ST,3670990.933,536291.1797
3313 CLEVELAND AVE,3673273.207,536269.8962
4017 CLEVELAND AVE,3671124.902,537847.158
125 S PIERCE ST,3671274.294,537871.1692
3918 CANAL ST,3671541.017,537849.3205
2736 PALMYRA ST,3674548.057,534618.9907
430 S GAYOSO ST,3673486.81,534639.201
3223 GRAVIER ST,3672197.356,534359.332
2204 TULANE AVE,3676001.248,532757.8871
451 S GALVEZ ST,3675843.916,532522.1186
2215 GRAVIER ST,3675743.358,532541.33
532 S MIRO ST,3675743.208,532674.8402
2118 TULANE AVE,3676258.548,532628.7502
2126 TULANE AVE,3676200.738,532658.2982
2132 TULANE AVE,3676171.19,532674.9993
432 S GALVEZ ST,3676095.919,532495.5796
436 S GALVEZ ST,3676081.849,532472.2184
2105 GRAVIER ST,3676170.44,532331.2959
2115 GRAVIER ST,3676101.566,532364.6046
2119 GRAVIER ST,3676080.112,532382.6697
2121 GRAVIER ST,3676043.416,532354.4422
2123 GRAVIER ST,3676045.675,532390.0093
429 S JOHNSON ST,3676230.847,532434.0438
437 S JOHNSON ST,3676213.346,532396.783
524 S GALVEZ ST,3675834.108,532165.2468
528 S GALVEZ ST,3675806.586,532126.4325
508 S GALVEZ ST,3675906.264,532271.3059
2135 PERDIDO ST,3675656.22,532001.7051
632 S GALVEZ ST,3675475.816,531729.3282
2133 POYDRAS ST,3675387.918,531650.0457
226 S CORTEZ ST,3671741.608,537033.7152
211 S PIERCE ST,3671097.776,537684.2208
137 S SCOTT ST,3671493.673,537574.3071
4027 PALMYRA ST,3670893.503,537630.1161
213 S PIERCE ST,3671088.638,537651.1733
